pl_name,hostname,disposition,disc_year,pl_rade,pl_bmasse,pl_eqt,rastr,ra,decstr,dec
EPIC 211808055.01,EPIC 211808055,CANDIDATE,2016,,,,08h36m08.26s,129.0344102,+17d25m47.94s,17.4299822
EPIC 211812935.01,EPIC 211812935,CANDIDATE,2018,18.300,,,08h52m35.50s,133.1478987,+17d29m59.15s,17.4997633
EPIC 211812935.01,EPIC 211812935,CANDIDATE,2018,15.382,,1228,08h52m35.50s,133.1478987,+17d29m59.15s,17.4997633
EPIC 211814313.01,EPIC 211814313,CANDIDATE,2018,,,,08h45m17.79s,131.3241107,+17d31m10.03s,17.5194533
EPIC 211817229.01,EPIC 211817229,CANDIDATE,2017,1.250,,,08h27m53.49s,126.9728935,+17d33m29.90s,17.5583062
EPIC 211817229.01,EPIC 211817229,CANDIDATE,2017,7.920,,,08h27m53.49s,126.9728935,+17d33m29.90s,17.5583062
EPIC 211825866.01,EPIC 211825866,CANDIDATE,2016,,,,08h17m19.87s,124.3327803,+17d41m02.26s,17.6839610
EPIC 211826814.01,EPIC 211826814,CANDIDATE,2017,1.020,,,08h30m36.19s,127.6508040,+17d41m48.18s,17.6967160
EPIC 211830293.01,EPIC 211830293,CANDIDATE,2018,,,,09h04m33.55s,136.1398094,+17d44m49.28s,17.7470224
EPIC 211834065.01,EPIC 211834065,CANDIDATE,2016,,,,08h50m11.52s,132.5479840,+17d47m57.41s,17.7992816
EPIC 211837343.01,EPIC 211837343,CANDIDATE,2019,2.530,,,08h17m54.64s,124.4776657,+17d50m43.00s,17.8452779
EPIC 211843564.01,EPIC 211843564,CANDIDATE,2019,7.917,,1326,08h12m36.52s,123.1521655,+17d55m48.44s,17.9301228
EPIC 211843564.01,EPIC 211843564,CANDIDATE,2019,5.300,,,08h12m36.52s,123.1521655,+17d55m48.44s,17.9301228
EPIC 211859295.01,EPIC 211859295,CANDIDATE,2021,2.495,,,08h47m30.98s,131.8790800,+18d08m47.37s,18.1464926
EPIC 211863149.01,EPIC 211863149,CANDIDATE,2018,,,,08h50m03.72s,132.5155053,+18d12m00.84s,18.2002339
EPIC 211876245.01,EPIC 211876245,CANDIDATE,2018,,,,08h56m38.81s,134.1616939,+18d22m57.27s,18.3825750
EPIC 211886472.01,EPIC 211886472,CANDIDATE,2016,,,,09h08m31.81s,137.1325490,+18d31m42.36s,18.5284330
EPIC 211886472.01,EPIC 211886472,CANDIDATE,2016,43.000,,,09h08m31.81s,137.1325490,+18d31m42.36s,18.5284330
EPIC 211886472.01,EPIC 211886472,CANDIDATE,2016,34.306,,,09h08m31.81s,137.1325490,+18d31m42.36s,18.5284330
EPIC 211886472.01,EPIC 211886472,CANDIDATE,2016,,,,09h08m31.81s,137.1325490,+18d31m42.36s,18.5284330
EPIC 211886472.01,EPIC 211886472,CANDIDATE,2016,,,,09h08m31.81s,137.1325490,+18d31m42.36s,18.5284330
EPIC 211892082.01,EPIC 211892082,CANDIDATE,2021,2.214,,,08h45m12.10s,131.3004022,+18d36m35.21s,18.6097799
EPIC 211892395.01,EPIC 211892395,CANDIDATE,2018,,,,09h03m02.48s,135.7603390,+18d36m52.94s,18.6147062
EPIC 211897272.01,EPIC 211897272,CANDIDATE,2019,2.250,,,08h27m35.96s,126.8998198,+18d41m12.36s,18.6867675
EPIC 211897691.01,K2-339,CANDIDATE,2016,2.010,,,08h40m19.81s,130.0825420,+18d41m34.46s,18.6929046
EPIC 211897691.01,K2-339,CANDIDATE,2016,2.930,,,08h40m19.81s,130.0825420,+18d41m34.46s,18.6929046
EPIC 211897691.01,K2-339,CANDIDATE,2016,,,,08h40m19.81s,130.0825420,+18d41m34.46s,18.6929046
EPIC 211901114.01,EPIC 211901114,CANDIDATE,2017,9.600,,,08h41m35.65s,130.3985490,+18d44m34.79s,18.7429979
EPIC 211901114.01,EPIC 211901114,CANDIDATE,2017,,,,08h41m35.65s,130.3985490,+18d44m34.79s,18.7429979
EPIC 211904310.01,EPIC 211904310,CANDIDATE,2022,18.430,,1144,08h37m56.11s,129.4837732,+18d47m24.76s,18.7902102
EPIC 211906259.01,EPIC 211906259,CANDIDATE,2016,,,,08h45m14.64s,131.3109799,+18d49m09.46s,18.8192956
EPIC 211913395.01,EPIC 211913395,CANDIDATE,2019,2.690,,,08h33m04.58s,128.2690718,+18d55m30.36s,18.9251012
EPIC 211914445.01,EPIC 211914445,CANDIDATE,2018,,,,08h41m41.83s,130.4242801,+18d56m28.60s,18.9412786
EPIC 211914889.01,EPIC 211914889,CANDIDATE,2018,,,,08h39m30.67s,129.8777982,+18d56m53.16s,18.9481008
EPIC 211914960.01,EPIC 211914960,CANDIDATE,2018,,,,08h40m02.19s,130.0091206,+18d56m56.78s,18.9491053
EPIC 211914998.02,K2-358,CANDIDATE,2022,2.330,,585,08h55m13.95s,133.8081054,+18d56m59.01s,18.9497263
EPIC 211925181.01,EPIC 211925181,CANDIDATE,2019,2.430,,,08h23m51.39s,125.9641071,+19d06m03.25s,19.1009014
EPIC 211925595.01,EPIC 211925595,CANDIDATE,2016,,,,08h51m49.94s,132.9580770,+19d06m26.90s,19.1074714
EPIC 211929937.01,EPIC 211929937,CANDIDATE,2016,11.500,,,08h36m42.81s,129.1783954,+19d10m25.68s,19.1738012
EPIC 211929937.01,EPIC 211929937,CANDIDATE,2016,,,,08h36m42.81s,129.1783954,+19d10m25.68s,19.1738012
EPIC 211929937.01,EPIC 211929937,CANDIDATE,2016,11.857,,1017,08h36m42.81s,129.1783954,+19d10m25.68s,19.1738012
EPIC 211929937.01,EPIC 211929937,CANDIDATE,2016,12.700,,,08h36m42.81s,129.1783954,+19d10m25.68s,19.1738012
EPIC 211929937.01,EPIC 211929937,CANDIDATE,2016,,,,08h36m42.81s,129.1783954,+19d10m25.68s,19.1738012
EPIC 211929937.01,EPIC 211929937,CANDIDATE,2016,12.600,,,08h36m42.81s,129.1783954,+19d10m25.68s,19.1738012
EPIC 211939692.01,EPIC 211939692,CANDIDATE,2019,4.310,,,08h33m36.45s,128.4018840,+19d19m12.67s,19.3201861
EPIC 211939692.02,EPIC 211939692,CANDIDATE,2019,3.280,,,08h33m36.45s,128.4018840,+19d19m12.67s,19.3201861
EPIC 211939692.03,EPIC 211939692,CANDIDATE,2019,3.260,,,08h33m36.45s,128.4018840,+19d19m12.67s,19.3201861
EPIC 211939692.04,EPIC 211939692,CANDIDATE,2019,2.950,,,08h33m36.45s,128.4018840,+19d19m12.67s,19.3201861
EPIC 211941472.01,EPIC 211941472,CANDIDATE,2016,1.443,,,08h41m47.66s,130.4485798,+19d20m50.91s,19.3474745
EPIC 211941472.01,EPIC 211941472,CANDIDATE,2016,,,,08h41m47.66s,130.4485798,+19d20m50.91s,19.3474745
EPIC 211941472.01,EPIC 211941472,CANDIDATE,2016,1.380,,,08h41m47.66s,130.4485798,+19d20m50.91s,19.3474745
EPIC 211942755.01,EPIC 211942755,CANDIDATE,2021,2.239,,,08h18m08.72s,124.5363137,+19d21m57.92s,19.3660902
EPIC 211953244.01,EPIC 211953244,CANDIDATE,2021,1.439,,,08h26m03.17s,126.5132158,+19d31m15.50s,19.5209728
EPIC 211964332.01,EPIC 211964332,CANDIDATE,2018,,,,08h38m48.84s,129.7034817,+19d41m28.40s,19.6912228
EPIC 211965883.01,EPIC 211965883,CANDIDATE,2016,,,,09h04m37.69s,136.1570235,+19d42m51.89s,19.7144139
EPIC 211965883.01,EPIC 211965883,CANDIDATE,2016,2.640,,,09h04m37.69s,136.1570235,+19d42m51.89s,19.7144139
EPIC 211965883.01,EPIC 211965883,CANDIDATE,2016,2.860,,,09h04m37.69s,136.1570235,+19d42m51.89s,19.7144139
EPIC 211972627.01,EPIC 211972627,CANDIDATE,2018,,,,08h41m10.27s,130.2927863,+19d49m06.80s,19.8185555
EPIC 211972681.01,EPIC 211972681,CANDIDATE,2018,,,,08h40m05.78s,130.0240979,+19d49m10.20s,19.8194993
EPIC 211978865.01,EPIC 211978865,CANDIDATE,2018,77.000,,,08h15m35.47s,123.8977875,+19d54m53.36s,19.9148217
EPIC 211987231.01,EPIC 211987231,CANDIDATE,2016,,,,09h09m31.90s,137.3828987,+20d02m54.01s,20.0483370
EPIC 211987231.01,EPIC 211987231,CANDIDATE,2016,53.000,,,09h09m31.90s,137.3828987,+20d02m54.01s,20.0483370
EPIC 211988320.01,EPIC 211988320,CANDIDATE,2017,2.860,,,09h04m21.19s,136.0883061,+20d03m55.43s,20.0653970
EPIC 211988320.01,EPIC 211988320,CANDIDATE,2017,2.780,,,09h04m21.19s,136.0883061,+20d03m55.43s,20.0653970
