kepoi_name,koi_prad,koi_teq,ra,dec
K01192.01,57.82,169.0,291.032170,38.703911
K00993.02,1.45,734.0,290.728670,37.252651
K00994.01,2.12,1046.0,291.142490,37.061321
K00995.01,22.32,521.0,293.710750,38.983608
K00996.01,24.60,494.0,293.676570,38.991379
K00997.01,4.50,1059.0,290.778630,37.564079
K00136.01,27.36,1060.0,289.873470,43.203838
K01065.01,16.94,1232.0,295.039250,44.191059
K01066.01,9.29,943.0,299.786320,44.169540
K01067.01,49.82,379.0,296.309420,44.165741
K01068.01,14.35,2170.0,300.867000,44.145290
K01069.01,2.86,748.0,287.593200,44.179420
K01127.02,1.39,875.0,290.215180,41.775970
K01127.03,1.19,1242.0,290.215180,41.775970
K01128.01,1.16,1612.0,291.433290,41.703442
K01129.01,1.48,904.0,287.272640,41.635559
K01130.01,20.05,1231.0,282.603360,44.286980
K01132.01,13.63,1646.0,301.016720,44.233841
K01196.01,3.32,1374.0,292.922760,38.477280
K01197.01,19.51,2011.0,292.352870,38.942471
K01198.01,3.42,875.0,292.479710,38.514919
K01198.02,2.20,1015.0,292.479710,38.514919
K01198.03,3.02,671.0,292.479710,38.514919
K01198.04,,,292.479710,38.514919
K00998.01,36.14,375.0,291.382690,37.072990
K00999.01,2.54,548.0,292.469760,37.567791
K00999.02,2.18,386.0,292.469760,37.567791
K01000.01,0.82,1881.0,291.074460,37.744389
K01001.01,3.71,772.0,292.044620,37.376240
K01069.02,1.56,1139.0,287.593200,44.179420
K00141.01,5.11,1164.0,288.038300,50.651611
K01070.01,2.98,1066.0,294.484380,44.166908
K01070.02,4.75,421.0,294.484380,44.166908
K01070.03,1.92,410.0,294.484380,44.166908
K01133.01,37.15,952.0,294.997340,44.321388
K00148.02,2.63,736.0,299.139220,40.949020
K01134.01,29.55,313.0,284.519620,44.453941
K01134.02,,,284.519620,44.453941
K01135.01,43.98,2308.0,301.400670,44.318039
K01136.01,,,298.211880,44.324638
K01203.02,2.73,739.0,293.568150,39.036320
K01203.03,4.14,489.0,293.568150,39.036320
